Method,,,,sMAPE,,,,,,,MASE,,,,,,,OWA,,,,,,,Overview,,,,
User ID,Team Members,Affiliation,Type of Method,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Yearly,Quarterly,Monthly,Weekly,Daily,Hourly,Total,Better than Comb,General Rank (OWA),General Rank (sMAPE),General Rank (MASE),% improvement over Comb
211,"Trotta, B.",Individual,Machine Learning,14.397,11.031,13.973,8.439,3.312,14.006,12.894,3.324,1.202,0.972,2.976,3.457,1.213,1.682,0.859,0.939,0.941,0.996,1.071,0.634,0.915,0,23,27,17,-1.94
231,"Chen, W. & Francis, J.",Fordham University,Combination (S),14.414,10.331,13.503,7.606,3.042,29.442,12.554,3.244,1.208,1.051,2.473,3.309,9.843,1.730,0.849,0.910,0.962,0.860,1.004,2.856,0.915,0,24,22,26,-1.96
227,"Svetunkov, I., Abolghasemi, M. & Kourentzes, N.",Lancaster University & University of Newcastle,Combination (S),15.555,10.147,12.986,6.905,3.083,15.197,12.464,3.651,1.170,0.988,2.213,3.253,1.106,1.745,0.935,0.887,0.915,0.775,1.002,0.644,0.916,0,25,18,28,-2.01
82,"Talagala, T., Hyndman, R. J. & Athanasopoulos, G.",Monash University,Statistical,14.357,10.825,13.933,7.832,3.381,34.489,12.902,3.165,1.202,0.985,2.312,3.565,9.336,1.687,0.837,0.930,0.946,0.844,1.099,2.887,0.917,0,26,28,19,-2.12
212,"Sui, M. & Rengifo, E.",Fordham University,Combination (S),14.169,11.078,13.871,9.685,3.925,18.926,12.855,3.117,1.268,1.056,3.206,4.306,5.150,1.743,0.826,0.965,0.977,1.106,1.301,1.590,0.930,0,27,26,27,-3.56
236,"Kharaghani, S.",Individual,Combination (S),15.611,11.222,13.683,7.309,3.281,11.336,13.063,3.478,1.246,0.951,2.246,3.524,0.810,1.716,0.915,0.964,0.922,0.803,1.076,0.477,0.930,0,28,29,23,-3.63
248,Smart Forecast,Smart Cube (Smart Forecast),Combination (S),15.711,10.593,14.162,9.636,3.205,21.759,13.214,3.661,1.207,1.042,2.395,3.363,1.220,1.788,0.941,0.921,0.981,0.957,1.039,0.847,0.955,0,29,31,30,-6.34
30,"Wainwright, E., Butz E. & Raychaudhuri, S.",Oracle Corporation (Crystal Ball),Statistical,16.968,10.815,13.785,8.132,3.227,13.292,13.336,3.796,1.214,0.991,2.536,3.429,1.010,1.798,0.997,0.934,0.944,0.900,1.053,0.572,0.962,0,30,32,32,-7.15
Holt,The M4 Team,Benchmark,Statistical,16.354,10.907,14.812,9.708,3.066,29.249,13.775,3.550,1.198,1.009,2.420,3.223,9.356,1.772,0.947,0.932,0.988,0.966,0.995,2.749,0.971,0,31,40,29,-8.19
SES,The M4 Team,Benchmark,Statistical,16.396,10.600,13.618,9.012,3.045,18.094,13.087,3.981,1.340,1.019,2.685,3.281,2.385,1.885,1.003,0.970,0.951,0.975,1.000,0.990,0.975,0,32,30,34,-8.64
234,"Valle dos Santos, R., Araújo, C. & Accioly, R.",Individual,Combination (S),14.878,10.071,16.169,8.447,3.084,14.220,13.820,3.349,1.134,1.237,2.476,3.273,1.388,1.789,0.877,0.871,1.142,0.907,1.006,0.677,0.977,0,33,41,31,-8.87
24,"Reilly, T.","Automatic Forecasting Systems, Inc. (AutoBox)",Statistical,16.827,11.671,14.226,8.035,4.082,13.135,13.756,3.759,1.327,1.026,2.259,4.362,1.149,1.873,0.988,1.014,0.976,0.845,1.336,0.597,0.997,0,34,39,33,-11.05
Naive2,The M4 Team,Benchmark,Statistical,16.342,11.012,14.427,9.161,3.045,18.383,13.564,3.974,1.371,1.063,2.777,3.278,2.395,1.912,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,35,34,36,-11.40
218,"Iqbal, A., Seery, S. & Silvia, J.",Wells Fargo Securities,Statistical,15.581,11.714,15.789,11.002,2.993,41.678,14.312,3.534,1.318,1.184,2.535,3.233,11.806,1.892,0.921,1.013,1.104,1.057,0.985,3.598,1.022,0,36,44,35,-13.89
106,"Fritschi, R.",Individual,Statistical,17.995,11.274,13.357,8.218,3.010,28.322,13.530,4.466,1.304,1.112,2.280,3.266,11.749,2.069,1.112,0.987,0.986,0.859,0.992,3.223,1.040,0,37,33,44,-15.82
43,"Bontempi, G.",Université Libre de Bruxelles,Combination (S & ML),16.613,11.786,14.800,9.681,3.541,12.628,13.990,4.304,1.473,1.050,2.506,3.837,1.009,2.023,1.050,1.072,1.007,0.980,1.167,0.554,1.045,0,38,42,39,-16.38
Naive,The M4 Team,Benchmark,Statistical,16.342,11.610,15.256,9.161,3.045,43.003,14.208,3.974,1.477,1.205,2.777,3.278,11.608,2.044,1.000,1.066,1.096,1.000,1.000,3.593,1.058,0,39,43,40,-17.88
216,"Bandara, K., Bergmeir, C. & Hewamalage, C.",Monash University,Combination (S & ML),15.576,10.162,13.341,7.301,2.959,18.598,12.653,6.279,1.158,0.945,2.416,3.276,2.758,2.334,1.267,0.884,0.907,0.833,0.986,1.082,1.077,0,40,24,47,-19.96
sNaive,The M4 Team,Benchmark,Statistical,16.342,12.521,15.988,9.161,3.045,13.912,14.657,3.974,1.602,1.260,2.777,3.278,1.193,2.057,1.000,1.153,1.147,1.000,1.000,0.627,1.078,0,41,47,42,-20.11
169,"Patelis, A.",Individual,Combination (S),17.379,11.951,15.225,11.597,3.816,12.962,14.430,4.371,1.383,1.155,6.728,4.202,1.166,2.098,1.082,1.047,1.071,1.844,1.268,0.596,1.081,0,42,45,45,-20.38
241,"Kyriakides, I. & Artusi, A.",University of Nicosia,Combination (ML),17.087,12.802,15.947,10.271,3.087,15.663,14.889,3.843,1.668,1.290,3.018,3.318,3.320,2.068,1.006,1.190,1.159,1.104,1.013,1.119,1.090,0,43,48,43,-21.40
191,"Viole, F. & Vinod, H.",Fordham University,Combination (S & ML),15.886,13.158,17.179,13.349,5.498,13.094,15.392,3.388,1.492,1.245,4.425,6.142,1.122,2.015,0.912,1.142,1.181,1.525,1.840,0.590,1.094,0,44,49,38,-21.90
126,"Chirikhin, K. & Ryabko, B.",Novosibirsk State University,Combination (S),16.336,14.218,18.709,11.823,4.348,22.133,16.468,3.489,1.541,1.202,3.251,4.472,1.619,1.957,0.939,1.208,1.214,1.231,1.396,0.940,1.119,0,45,52,37,-24.63
244,"Alves Santos Junior, J. G.",Individual,Machine Learning,18.849,13.823,18.198,9.500,3.048,21.138,16.638,4.268,1.452,1.200,2.555,3.200,1.409,2.056,1.114,1.157,1.195,0.979,0.989,0.869,1.151,0,46,53,41,-28.23
70,"Mohamed, A.",ServiceNow,Combination (S),16.400,13.478,17.479,15.661,8.224,24.321,15.901,3.580,1.595,1.414,6.747,9.298,1.944,2.310,0.952,1.194,1.271,2.070,2.769,1.067,1.190,0,47,51,46,-32.61
249,"Clark, C.",Individual,Statistical,23.916,13.087,14.386,10.269,3.434,36.700,15.881,6.021,1.760,1.166,3.169,3.777,10.791,2.583,1.489,1.236,1.047,1.131,1.140,3.251,1.261,0,48,50,48,-40.45
252,"Selamlar, H. T.",Dokuz Eylul University,Statistical,13.930,9.960,13.131,8.201,37.998,13.111,13.587,3.124,1.155,0.962,2.499,43.273,2.366,3.305,0.819,0.873,0.908,0.898,12.840,0.851,1.365,0,49,37,52,-52.08
255,"Taylan, A. S.",Yapı Kredi Invest,Statistical,13.930,10.292,12.936,8.540,38.080,12.851,13.577,3.117,1.231,0.962,2.578,43.278,2.238,3.322,0.818,0.916,0.901,0.930,12.854,0.817,1.369,0,50,36,53,-52.52
